"","gamma","mu_values","k_values","tau_squared_values","av_sigma_squared_true","I_squared","perc_HR.av","perc_LR.av","perc_REP.av","perc_sign.av","perc_HR_sign.av","perc_HR_nonsign.av","perc_LR_sign.av","perc_LR_nonsign.av","perc_REP_sign.av","perc_REP_nonsign.av","bias.unadj","cov.unadj","width.unadj","mse.unadj","bias.tau2.unadj.ML","bias.tau2.unadj.REML","bias.adj","cov.adj","width.adj","mse.adj","bias.tau2.adj.ML","bias.tau2.adj.REML"
"25",1.5,0,15,0.039,0.0400098348084411,0.493708607372911,0.48,0.213333333333333,0.306666666666667,0.12,0,0.48,0.08,0.133333333333333,0.04,0.266666666666667,0.000445886226630074,0.6,0.693182160007008,0.0358798923308412,-0.00265617812800132,0.0248649373157645,-0.0240637877649443,0.8,0.537871405468237,0.0421710041537479,-0.012597389033061,-0.00522586311252143
"26",1.5,0.1,15,0.039,0.0400098348084411,0.493708607372911,0.426666666666667,0.213333333333333,0.36,0.24,0,0.426666666666667,0.106666666666667,0.106666666666667,0.133333333333333,0.226666666666667,0.145788793678131,0.6,0.568658439348764,0.0357386010493234,-0.0285255186202591,-0.0117282381663051,0.0686829258324402,0.8,0.45795186789458,0.0145316807985539,-0.0340817113884816,-0.031795552496119
"27",1.5,0.2,15,0.039,0.0400098348084411,0.493708607372911,0.346666666666667,0.16,0.493333333333333,0.32,0,0.346666666666667,0.12,0.04,0.2,0.293333333333333,0.111763012857488,0.8,0.383010940185127,0.0217944521466891,-0.0382673394478229,-0.0306374490036197,0.0425795761601589,0.8,0.360973431847398,0.00622585804147019,-0.0370309275835753,-0.0209795277024014
"28",1.5,0.3,15,0.039,0.0400098348084411,0.493708607372911,0.24,0.146666666666667,0.613333333333333,0.466666666666667,0,0.24,0.106666666666667,0.04,0.36,0.253333333333333,0.0673729900954516,0.8,0.307484185335318,0.00626151392282931,-0.0338040175367255,-0.0311626062087101,0.0199302852486938,0.8,0.278903373518399,0.00284638422542999,-0.0344827607470354,-0.0322029586370717
"29",1.5,0.4,15,0.039,0.0400098348084411,0.493708607372911,0.146666666666667,0.0533333333333333,0.8,0.586666666666667,0,0.146666666666667,0.0266666666666667,0.0266666666666667,0.56,0.24,0.0606970577604115,0.8,0.275626322728365,0.00665097777202465,-0.0263089567841666,-0.0222093336174139,0.0220392782819377,1,0.267047681936088,0.00288694646867994,-0.0241372948589901,-0.0193183072605545
"30",1.5,0.5,15,0.039,0.0400098348084411,0.493708607372911,0.106666666666667,0.0533333333333333,0.84,0.68,0,0.106666666666667,0.04,0.0133333333333333,0.64,0.2,0.047523187070095,0.8,0.286583066921125,0.00502586952765114,-0.018558072346352,-0.0140174905828735,0.0103049101729249,1,0.284719461061822,0.00191997498867723,-0.0143929641246417,-0.00881692329587535
"31",1.5,0,30,0.039,0.0400574233286835,0.493497613773314,0.6,0.226666666666667,0.173333333333333,0.133333333333333,0.00666666666666667,0.593333333333333,0.08,0.146666666666667,0.0466666666666667,0.126666666666667,0.212428514715192,0.4,0.408965042863135,0.0486848848211658,-0.0367934718090733,-0.035344568487285,0.163802303663796,0.8,0.368984656457585,0.0282252114040631,-0.039,-0.0389999946505756
"32",1.5,0.1,30,0.039,0.0400574233286835,0.493497613773314,0.446666666666667,0.22,0.333333333333333,0.246666666666667,0,0.446666666666667,0.1,0.12,0.146666666666667,0.186666666666667,0.197249818396349,0,0.272945532077027,0.0409799723467587,-0.0367325704859674,-0.0358063848067935,0.12676799091171,0.6,0.252343957892748,0.0168956343391306,-0.0385338581478748,-0.0386237602075797
"33",1.5,0.2,30,0.039,0.0400574233286835,0.493497613773314,0.353333333333333,0.146666666666667,0.5,0.353333333333333,0.00666666666666667,0.346666666666667,0.08,0.0666666666666667,0.266666666666667,0.233333333333333,0.145341722968311,0.2,0.231442793140786,0.0216058807973216,-0.0340241884329257,-0.031545840989352,0.074531833446608,0.8,0.198165469405731,0.00638455944652225,-0.0370949307907492,-0.036282234557119
"34",1.5,0.3,30,0.039,0.0400574233286835,0.493497613773314,0.226666666666667,0.113333333333333,0.66,0.52,0,0.226666666666667,0.0733333333333333,0.04,0.446666666666667,0.213333333333333,0.0992836044927533,0.2,0.191777333420682,0.0115103036158489,-0.0347829171063875,-0.0331626912975277,0.0519741338690382,0.8,0.176445220409605,0.00407507109838006,-0.0342843344965993,-0.0324604452142035
